iter	Passed	Remaining
0	1	536
1	2	464
2	3	447
3	4	433
4	5	416
5	6	403
6	7	422
7	8	416
8	9	414
9	10	428
10	11	423
11	13	429
12	14	426
13	15	419
14	16	429
15	17	426
16	18	420
17	20	425
18	20	419
19	21	413
20	23	415
21	23	410
22	25	412
23	26	416
24	27	419
25	29	422
26	30	418
27	31	414
28	32	416
29	33	414
30	34	410
31	35	410
32	36	406
33	37	402
34	38	403
35	39	403
36	41	410
37	43	410
38	44	408
39	45	407
40	46	405
41	47	404
42	48	403
43	49	401
44	50	400
45	52	400
46	52	397
47	53	395
48	55	396
49	56	395
50	57	395
51	58	394
52	59	391
53	61	391
54	62	390
55	63	392
56	64	391
57	65	388
58	66	386
59	68	385
60	68	382
61	70	383
62	71	382
63	72	382
64	74	381
65	75	380
66	76	380
67	77	378
68	78	376
69	79	375
70	80	374
71	81	371
72	83	372
73	84	371
74	86	372
75	87	371
76	88	369
77	89	368
78	90	366
79	91	364
80	92	363
81	93	361
82	94	359
83	95	357
84	96	357
85	97	355
86	98	355
87	100	355
88	101	355
89	102	354
90	103	352
91	105	352
92	106	350
93	107	349
94	108	349
95	109	347
96	110	346
97	112	345
98	112	343
99	114	344
100	115	343
101	118	345
102	119	344
103	120	343
104	121	342
105	122	340
106	124	339
107	124	337
108	125	335
109	126	334
110	127	332
111	128	331
112	130	331
113	131	330
114	133	329
115	134	328
116	135	327
117	136	326
118	137	324
119	138	322
120	139	321
121	140	320
122	141	319
123	142	317
124	144	316
125	145	316
126	146	315
127	147	313
128	148	311
129	149	310
130	150	309
131	151	308
132	152	307
133	153	305
134	155	304
135	156	303
136	157	301
137	158	301
138	160	300
139	161	300
140	162	298
141	163	297
142	165	296
143	166	295
144	166	293
145	168	292
146	169	290
147	169	289
148	170	287
149	171	286
150	172	285
151	174	285
152	175	284
153	177	284
154	178	282
155	179	281
156	181	280
157	182	278
158	182	277
159	184	276
160	185	274
161	186	273
162	187	272
163	188	271
164	189	270
165	191	270
166	192	268
167	193	267
168	194	266
169	195	264
170	197	263
171	198	262
172	199	261
173	200	259
174	201	258
175	202	257
176	203	256
177	204	255
178	206	255
179	207	253
180	208	252
181	210	251
182	210	250
183	211	248
184	212	247
185	213	246
186	215	244
187	216	243
188	217	242
189	219	242
190	220	241
191	221	240
192	222	238
193	223	237
194	224	236
195	225	234
196	226	233
197	227	232
198	228	231
199	229	229
200	230	228
201	231	227
202	232	226
203	234	225
204	235	224
205	236	222
206	237	221
207	238	220
208	239	219
209	241	218
210	242	216
211	243	215
212	244	214
213	245	213
214	246	211
215	247	210
216	248	209
217	250	208
218	251	207
219	252	206
220	253	205
221	254	204
222	255	202
223	256	201
224	257	200
225	258	199
226	259	197
227	260	196
228	261	195
229	263	194
230	265	194
231	266	192
232	267	191
233	268	190
234	269	189
235	270	188
236	272	187
237	273	185
238	273	184
239	275	183
240	276	182
241	278	181
242	279	180
243	280	179
244	281	178
245	282	176
246	283	175
247	284	174
248	285	173
249	286	172
250	288	171
251	289	169
252	289	168
253	291	167
254	292	166
255	293	165
256	294	164
257	295	162
258	297	162
259	298	160
260	299	159
261	300	158
262	301	157
263	302	156
264	303	154
265	304	153
266	305	152
267	307	151
268	308	150
269	310	149
270	311	148
271	312	147
272	313	145
273	314	144
274	315	143
275	316	142
276	317	140
277	318	139
278	319	138
279	320	137
280	321	136
281	323	135
282	324	134
283	326	133
284	327	132
285	328	130
286	329	129
287	330	128
288	331	127
289	332	126
290	333	124
291	334	123
292	335	122
293	336	121
294	338	120
295	339	119
296	342	118
297	343	117
298	344	116
299	345	115
300	346	114
301	348	113
302	349	111
303	351	110
304	352	109
305	354	108
306	355	107
307	356	106
308	357	105
309	358	104
310	359	102
311	360	101
312	361	100
313	362	99
314	363	98
315	364	96
316	365	95
317	367	94
318	368	93
319	369	92
320	370	91
321	371	90
322	372	88
323	373	87
324	374	86
325	375	85
326	376	84
327	377	82
328	378	81
329	379	80
330	380	79
331	381	78
332	383	77
333	384	75
334	385	74
335	386	73
336	387	72
337	388	71
338	389	70
339	390	68
340	391	67
341	392	66
342	393	65
343	394	64
344	395	63
345	397	61
346	398	60
347	399	59
348	400	58
349	401	57
350	402	56
351	403	55
352	404	53
353	405	52
354	406	51
355	407	50
356	408	49
357	409	48
358	411	47
359	412	45
360	413	44
361	414	43
362	415	42
363	416	41
364	418	40
365	418	38
366	419	37
367	421	36
368	422	35
369	423	34
370	424	33
371	425	32
372	427	30
373	428	29
374	429	28
375	430	27
376	431	26
377	432	25
378	433	24
379	434	22
380	435	21
381	436	20
382	437	19
383	438	18
384	439	17
385	441	16
386	442	14
387	444	13
388	445	12
389	446	11
390	447	10
391	447	9
392	449	8
393	450	6
394	450	5
395	452	4
396	453	3
397	453	2
398	456	1
399	457	0
